cid,character,movement_type,route_kind,frame,local_x,local_y,local_z,delta_x,delta_y,delta_z,cumulative_x,cumulative_y,cumulative_z,primary_distance,secondary_distance,source_channel,root_decode_confidence
001,Mitsurugi,backstep_candidate,trusted_basic,0,0.0020000000949949026,0.0,0.02300000109244138,0.0020000000949949026,0.0,0.02300000109244138,0.0020000000949949026,0.0,0.02300000109244138,0.02300000109244138,0.0020000000949949026,0x14,high
001,Mitsurugi,backstep_candidate,trusted_basic,1,0.003000000142492354,0.0,0.034000001614913344,0.0010000000474974513,0.0,0.011000000522471964,0.003000000142492354,0.0,0.034000001614913344,0.034000001614913344,0.003000000142492354,0x14,high
001,Mitsurugi,backstep_candidate,trusted_basic,2,0.0050000002374872565,0.0,0.03800000180490315,0.0020000000949949026,0.0,0.004000000189989805,0.0050000002374872565,0.0,0.03800000180490315,0.03800000180490315,0.0050000002374872565,0x14,high
001,Mitsurugi,backstep_candidate,trusted_basic,3,0.009000000427477062,0.0,0.03600000170990825,0.004000000189989805,0.0,-0.0020000000949949026,0.009000000427477062,0.0,0.03600000170990825,0.03600000170990825,0.009000000427477062,0x14,high
001,Mitsurugi,backstep_candidate,trusted_basic,4,0.013000000617466867,0.0,0.027000001282431185,0.004000000189989805,0.0,-0.009000000427477062,0.013000000617466867,0.0,0.027000001282431185,0.027000001282431185,0.013000000617466867,0x14,high
001,Mitsurugi,backstep_candidate,trusted_basic,5,0.018000000854954123,0.0,0.013000000617466867,0.0050000002374872565,0.0,-0.014000000664964318,0.018000000854954123,0.0,0.013000000617466867,0.013000000617466867,0.018000000854954123,0x14,high
001,Mitsurugi,backstep_candidate,trusted_basic,6,0.02300000109244138,0.0,-0.003000000142492354,0.0050000002374872565,0.0,-0.01600000075995922,0.02300000109244138,0.0,-0.003000000142492354,0.003000000142492354,0.02300000109244138,0x14,high
001,Mitsurugi,backstep_candidate,trusted_basic,7,0.027000001282431185,0.0,-0.02400000113993883,0.004000000189989805,0.0,-0.021000000997446477,0.027000001282431185,0.0,-0.02400000113993883,0.02400000113993883,0.027000001282431185,0x14,high
001,Mitsurugi,backstep_candidate,trusted_basic,8,0.03100000147242099,0.0,-0.04800000227987766,0.004000000189989805,0.0,-0.02400000113993883,0.03100000147242099,0.0,-0.04800000227987766,0.04800000227987766,0.03100000147242099,0x14,high
001,Mitsurugi,backstep_candidate,trusted_basic,9,0.034000001614913344,0.0,-0.07000000332482159,0.003000000142492354,0.0,-0.02200000104494393,0.034000001614913344,0.0,-0.07000000332482159,0.07000000332482159,0.034000001614913344,0x14,high
001,Mitsurugi,backstep_candidate,trusted_basic,10,0.035000001662410796,0.0,-0.09300000441726297,0.0010000000474974513,0.0,-0.02300000109244138,0.035000001662410796,0.0,-0.09300000441726297,0.09300000441726297,0.035000001662410796,0x14,high
001,Mitsurugi,backstep_candidate,trusted_basic,11,0.034000001614913344,0.0,-0.11200000531971455,-0.0010000000474974513,0.0,-0.019000000902451575,0.034000001614913344,0.0,-0.11200000531971455,0.11200000531971455,0.034000001614913344,0x14,high
