cid,character,slot,animation_hex,cell_index,role,active_start,active_end,has_offensive_hit,has_throw_or_special,has_non_offensive_metadata_or_body,confidence,reason
001,Mitsurugi,418,02DE,191,offensive_attack,15,16,True,False,False,confirmed_static_data,"High Strike cell, damage=20, active=15-16"
001,Mitsurugi,418,02DE,191,offensive_attack,15,16,True,False,False,confirmed_static_data,"High Strike cell, damage=20, active=15-16"
001,Mitsurugi,418,02DE,191,offensive_attack,15,16,True,False,False,confirmed_static_data,"High Strike cell, damage=20, active=15-16"
001,Mitsurugi,418,02DE,191,offensive_attack,15,16,True,False,False,confirmed_static_data,"High Strike cell, damage=20, active=15-16"
001,Mitsurugi,418,02DE,191,offensive_attack,15,16,True,False,False,confirmed_static_data,"High Strike cell, damage=20, active=15-16"
001,Mitsurugi,418,02DE,191,offensive_attack,15,16,True,False,False,confirmed_static_data,"High Strike cell, damage=20, active=15-16"
001,Mitsurugi,420,019D,192,offensive_attack,9,11,True,False,False,confirmed_static_data,"High Strike cell, damage=20, active=9-11"
001,Mitsurugi,421,019D,193,offensive_attack,9,11,True,False,False,confirmed_static_data,"High Strike cell, damage=38, active=9-11"
001,Mitsurugi,259,0318,26,offensive_attack,41,43,True,False,False,confirmed_static_data,"High Strike cell, damage=30, active=41-43"
001,Mitsurugi,259,0318,27,offensive_attack,41,43,True,False,False,confirmed_static_data,"High Strike cell, damage=30, active=41-43"
001,Mitsurugi,474,01DC,229,offensive_attack,28,30,True,False,False,confirmed_static_data,"High Strike cell, damage=14, active=28-30"
001,Mitsurugi,475,01DB,230,offensive_attack,20,22,True,False,False,confirmed_static_data,"High Strike cell, damage=34, active=20-22"
001,Mitsurugi,424,019C,197,nondamaging,,,False,False,True,confirmed_static_data,NonDamaging cell is non-damage metadata/body data until a narrower role is proven
001,Mitsurugi,424,019C,197,nondamaging,,,False,False,True,confirmed_static_data,NonDamaging cell is non-damage metadata/body data until a narrower role is proven
001,Mitsurugi,424,019C,197,nondamaging,,,False,False,True,confirmed_static_data,NonDamaging cell is non-damage metadata/body data until a narrower role is proven
001,Mitsurugi,424,019C,197,nondamaging,,,False,False,True,confirmed_static_data,NonDamaging cell is non-damage metadata/body data until a narrower role is proven
001,Mitsurugi,424,019C,197,nondamaging,,,False,False,True,confirmed_static_data,NonDamaging cell is non-damage metadata/body data until a narrower role is proven
001,Mitsurugi,424,019C,197,nondamaging,,,False,False,True,confirmed_static_data,NonDamaging cell is non-damage metadata/body data until a narrower role is proven
001,Mitsurugi,424,019C,197,nondamaging,,,False,False,True,confirmed_static_data,NonDamaging cell is non-damage metadata/body data until a narrower role is proven
001,Mitsurugi,424,019C,197,nondamaging,,,False,False,True,confirmed_static_data,NonDamaging cell is non-damage metadata/body data until a narrower role is proven
001,Mitsurugi,425,019E,198,offensive_attack,11,13,True,False,False,confirmed_static_data,"Mid Strike cell, damage=55, active=11-13"
